ID,Expediente,Mercado,Motivo,FechaInicio,FechaResolucion,Decision,Recurso,IdSector,IdSubsector,IdRama,Amparo,Nulidad,Relacionados,PalabrasClave,Sector,Subsector,Rama,Rubro,Anio,Consecutivo,Empresas,FechaResolucionOrigen,SentidoResolucionOrigen,Efecto,FechaResolucionCNT,SentidoResolucion,Multa,Tipo,RutaGaceta,ExpedienteOrigen,FechaVPResolucionRA,SentidoVPResolucionRA,PalabrasClaveComplemento,docEmpresaAlias,FechaActualizacion,NoPresentada,Resumen,RutaNoPresentada,RutaResumen,RutaExtracto,RutaDictamen,RutaResolucion,RutaDesechamiento,RutaCierre,RutaPosicionamiento,Multa1,Mercado1,Tipo1,,,,,,,,,
10745,DE-017-2025,N/A,N/A,,02/12/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,17,,02/12/2025 00:00,,,02/12/2025 00:00,,,Práctica monopólica relativa,,,02/12/2025 00:00,,,,07/01/2026 11:21,,,,,,,Si,,,,0,N/A,PRÁCTICA MONOPÓLICA RELATIVA,,,,,,,,,
10854,DE-032-2025,N/A,N/A,,27/11/2025 00:00,Desechamiento,,55,551,5511,,,,,Dirección de corporativos y empresas,Dirección de corporativos y empresas,Dirección de corporativos y empresas,DE,2025,32,,27/11/2025 00:00,,,27/11/2025 00:00,,,N/A,,,27/11/2025 00:00,,,,16/04/2026 16:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10853,DE-031-2025,N/A,N/A,,06/11/2025 00:00,Desechamiento,,81,811,0,,,,,Otros servicios exc. actividades del Gobierno,Servicios de reparación y mantenimiento,,DE,2025,31,,06/11/2025 00:00,,,06/11/2025 00:00,,,N/A,,,06/11/2025 00:00,,,,16/04/2026 16:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10722,DE-021-2025,N/A,N/A,,30/10/2025 00:00,Desechamiento,,46,466,4662,,,,,Comercio al por menor,"CME de enseres domésticos, computadoras","CME computadoras, tel. y otros apar. comunic.",DE,2025,21,,30/10/2025 00:00,,,30/10/2025 00:00,,,N/A,,,30/10/2025 00:00,,,,05/01/2026 12:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10760,DE-029-2025,N/A,N/A,,30/10/2025 00:00,Desechamiento,,43,431,4311,,,,,Comercio al por mayor,"CMA de alimentos, bebidas y tabaco",CMA de alimentos y abarrotes,DE,2025,29,,30/10/2025 00:00,,,30/10/2025 00:00,,,N/A,,,30/10/2025 00:00,,,,15/01/2026 15:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10756,DE-028-2025,N/A,N/A,,24/10/2025 00:00,Desechamiento,,71,713,7139,,,,,Serv. esparcimiento culturales y deportivos,Serv. de entretenimiento en instal. recreat.,Otros servicios recreativos,DE,2025,28,,24/10/2025 00:00,,,24/10/2025 00:00,,,N/A,,,24/10/2025 00:00,,,,08/01/2026 17:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10721,DE-015-2025,N/A,N/A,,21/10/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,15,,21/10/2025 00:00,,,21/10/2025 00:00,,,N/A,,,21/10/2025 00:00,,,,14/11/2025 11:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10755,DE-020-2025,N/A,N/A,,20/10/2025 00:00,Desechamiento,,46,468,4682,,,,,Comercio al por menor,"CME veh. motor, refac., combustibles, lubric.",CME de partes y refac. para auto. y camiones,DE,2025,20,,20/10/2025 00:00,,,20/10/2025 00:00,,,N/A,,,20/10/2025 00:00,,,,08/01/2026 17:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10697,IEBC-001-2022,"MERCADO RELEVANTE DE VENDEDORES: CONSISTE EN EL SERVICIO DE MARKETPLACE PARA VENDEDORES, CON DIMENSIÓN GEOGRÁFICA NACIONAL.",BARRERAS A LA COMPETENCIA Y LIBRE CONCURRENCIA O INSUMOS ESENCIALES,31/03/2022 00:00,21/08/2025 00:00,En Investigación,,46,469,4691,,,,,Comercio al por menor,Interm. y CME por MMC y otros medios,Intermediación al por menor,IEBC,2022,1,,21/08/2025 00:00,,,21/08/2025 00:00,,,N/A,,,21/08/2025 00:00,,,,01/10/2025 17:21,,,,,,,Si,,,,0,"MERCADO RELEVANTE DE VENDEDORES: CONSISTE EN EL SERVICIO DE MARKETPLACE PARA VENDEDORES, CON DIMENSIÓN GEOGRÁFICA NACIONAL.",N/A,,,,,,,,,
10716,DE-010-2025,N/A,N/A,,15/07/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,10,,15/07/2025 00:00,,,15/07/2025 00:00,,,N/A,,,15/07/2025 00:00,,,,14/11/2025 11:21,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
